2022-04-19 14:10:40,207 - INFO - **************common.configs**********
2022-04-19 14:10:40,207 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: ./data/whole_data/test, start_epoch: 0, end_epoch: 6, print_interval: 100, model_load_path: output_model_aitm2/
2022-04-19 14:10:40,207 - INFO - **************common.configs**********
W0419 14:10:40.208701 40137 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 14:10:40.213891 40137 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 14:10:42,402 - INFO - read data
2022-04-19 14:10:42,402 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test finished
2022-04-19 14:15:15,283 - INFO - load model epoch 0
2022-04-19 14:15:15,283 - INFO - start load model from output_model_aitm2/0
2022-04-19 14:15:15,761 - INFO - epoch: 0, batch_id: 0, click_auc: 0.659732,purchase_auc: 0.000000, avg_reader_cost: 0.00241 sec, avg_batch_cost: 0.00323 sec, avg_samples: 2000.00000, ips: 417924.20 ins/s
2022-04-19 14:15:19,807 - INFO - epoch: 0, batch_id: 100, click_auc: 0.621700,purchase_auc: 0.626539, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03936 sec, avg_samples: 2000.00000, ips: 49433.73 ins/s
2022-04-19 14:15:23,889 - INFO - epoch: 0, batch_id: 200, click_auc: 0.621367,purchase_auc: 0.577213, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03990 sec, avg_samples: 2000.00000, ips: 48992.20 ins/s
2022-04-19 14:15:28,409 - INFO - epoch: 0, batch_id: 300, click_auc: 0.620646,purchase_auc: 0.594024, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04426 sec, avg_samples: 2000.00000, ips: 44256.00 ins/s
2022-04-19 14:15:32,642 - INFO - epoch: 0, batch_id: 400, click_auc: 0.622066,purchase_auc: 0.613642, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04119 sec, avg_samples: 2000.00000, ips: 47247.39 ins/s
2022-04-19 14:15:36,538 - INFO - epoch: 0, batch_id: 500, click_auc: 0.620046,purchase_auc: 0.614087, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03803 sec, avg_samples: 2000.00000, ips: 51334.69 ins/s
2022-04-19 14:15:40,401 - INFO - epoch: 0, batch_id: 600, click_auc: 0.619406,purchase_auc: 0.606271, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03768 sec, avg_samples: 2000.00000, ips: 51780.35 ins/s
2022-04-19 14:15:44,381 - INFO - epoch: 0, batch_id: 700, click_auc: 0.619232,purchase_auc: 0.611044, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03865 sec, avg_samples: 2000.00000, ips: 50250.82 ins/s
2022-04-19 14:15:48,254 - INFO - epoch: 0, batch_id: 800, click_auc: 0.619547,purchase_auc: 0.611799, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03763 sec, avg_samples: 2000.00000, ips: 51650.43 ins/s
2022-04-19 14:15:52,332 - INFO - epoch: 0, batch_id: 900, click_auc: 0.618756,purchase_auc: 0.606753, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03961 sec, avg_samples: 2000.00000, ips: 49041.48 ins/s
2022-04-19 14:15:56,692 - INFO - epoch: 0, batch_id: 1000, click_auc: 0.618516,purchase_auc: 0.606877, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.04232 sec, avg_samples: 2000.00000, ips: 45881.84 ins/s
2022-04-19 14:16:01,121 - INFO - epoch: 0, batch_id: 1100, click_auc: 0.618161,purchase_auc: 0.606567, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04310 sec, avg_samples: 2000.00000, ips: 45159.38 ins/s
2022-04-19 14:16:05,256 - INFO - epoch: 0, batch_id: 1200, click_auc: 0.618035,purchase_auc: 0.604677, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03992 sec, avg_samples: 2000.00000, ips: 48367.33 ins/s
2022-04-19 14:16:09,496 - INFO - epoch: 0, batch_id: 1300, click_auc: 0.617944,purchase_auc: 0.604446, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04110 sec, avg_samples: 2000.00000, ips: 47178.24 ins/s
2022-04-19 14:16:13,857 - INFO - epoch: 0, batch_id: 1400, click_auc: 0.618013,purchase_auc: 0.600913, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04247 sec, avg_samples: 2000.00000, ips: 45858.28 ins/s
2022-04-19 14:16:18,297 - INFO - epoch: 0, batch_id: 1500, click_auc: 0.618063,purchase_auc: 0.603716, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04318 sec, avg_samples: 2000.00000, ips: 45048.04 ins/s
2022-04-19 14:16:22,612 - INFO - epoch: 0, batch_id: 1600, click_auc: 0.618167,purchase_auc: 0.603093, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04221 sec, avg_samples: 2000.00000, ips: 46356.13 ins/s
2022-04-19 14:16:26,622 - INFO - epoch: 0, batch_id: 1700, click_auc: 0.618496,purchase_auc: 0.607317, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03916 sec, avg_samples: 2000.00000, ips: 49879.15 ins/s
2022-04-19 14:16:30,371 - INFO - epoch: 0, batch_id: 1800, click_auc: 0.618346,purchase_auc: 0.609895, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03655 sec, avg_samples: 2000.00000, ips: 53347.25 ins/s
2022-04-19 14:16:58,495 - INFO - epoch: 0, batch_id: 1900, click_auc: 0.618713,purchase_auc: 0.611618, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.27996 sec, avg_samples: 2000.00000, ips: 7111.57 ins/s
2022-04-19 14:17:02,444 - INFO - epoch: 0, batch_id: 2000, click_auc: 0.618490,purchase_auc: 0.612625, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03825 sec, avg_samples: 2000.00000, ips: 50643.44 ins/s
2022-04-19 14:17:06,802 - INFO - epoch: 0, batch_id: 2100, click_auc: 0.618401,purchase_auc: 0.613868, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04228 sec, avg_samples: 2000.00000, ips: 45899.14 ins/s
2022-04-19 14:17:11,020 - INFO - epoch: 0, batch_id: 2200, click_auc: 0.618585,purchase_auc: 0.616489, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04109 sec, avg_samples: 2000.00000, ips: 47421.01 ins/s
2022-04-19 14:17:15,472 - INFO - epoch: 0, batch_id: 2300, click_auc: 0.618465,purchase_auc: 0.615239, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04339 sec, avg_samples: 2000.00000, ips: 44918.19 ins/s
2022-04-19 14:17:20,041 - INFO - epoch: 0, batch_id: 2400, click_auc: 0.618292,purchase_auc: 0.611294, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04440 sec, avg_samples: 2000.00000, ips: 43778.90 ins/s
2022-04-19 14:17:24,579 - INFO - epoch: 0, batch_id: 2500, click_auc: 0.618285,purchase_auc: 0.611577, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04424 sec, avg_samples: 2000.00000, ips: 44072.47 ins/s
2022-04-19 14:17:28,471 - INFO - epoch: 0, batch_id: 2600, click_auc: 0.618209,purchase_auc: 0.611208, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03797 sec, avg_samples: 2000.00000, ips: 51395.60 ins/s
2022-04-19 14:17:32,797 - INFO - epoch: 0, batch_id: 2700, click_auc: 0.618425,purchase_auc: 0.608881, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04213 sec, avg_samples: 2000.00000, ips: 46232.54 ins/s
2022-04-19 14:17:37,104 - INFO - epoch: 0, batch_id: 2800, click_auc: 0.618468,purchase_auc: 0.608222, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04199 sec, avg_samples: 2000.00000, ips: 46438.93 ins/s
2022-04-19 14:17:41,175 - INFO - epoch: 0, batch_id: 2900, click_auc: 0.618356,purchase_auc: 0.609390, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03977 sec, avg_samples: 2000.00000, ips: 49130.18 ins/s
2022-04-19 14:17:45,395 - INFO - epoch: 0, batch_id: 3000, click_auc: 0.618256,purchase_auc: 0.611255, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04107 sec, avg_samples: 2000.00000, ips: 47398.37 ins/s
2022-04-19 14:17:49,071 - INFO - epoch: 0, batch_id: 3100, click_auc: 0.618157,purchase_auc: 0.611958, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03579 sec, avg_samples: 2000.00000, ips: 54410.85 ins/s
2022-04-19 14:17:53,396 - INFO - epoch: 0, batch_id: 3200, click_auc: 0.618070,purchase_auc: 0.613759, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04211 sec, avg_samples: 2000.00000, ips: 46247.92 ins/s
