2022-04-19 13:42:00,936 - INFO - **************common.configs**********
2022-04-19 13:42:00,936 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, train_batch_size: 2000, train_data_dir: ./data/whole_data/train, epochs: 6, print_interval: 100, model_save_path: output_model_aitm2/
2022-04-19 13:42:00,936 - INFO - **************common.configs**********
W0419 13:42:00.938179 38848 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 13:42:00.946969 38848 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 13:42:03,061 - INFO - read data
2022-04-19 13:42:03,062 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train finished
2022-04-19 13:46:16,403 - INFO - epoch: 0, batch_id: 0, click_auc:0.528688, purchase_auc:0.000000, loss:44.678967, avg_reader_cost: 0.13005 sec, avg_batch_cost: 0.13158 sec, avg_samples: 20.00000, ips: 152.00344 ins/s
2022-04-19 13:46:22,393 - INFO - epoch: 0, batch_id: 100, click_auc:0.505361, purchase_auc:0.544440, loss:1.2960285, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05858 sec, avg_samples: 2000.00000, ips: 34143.21953 ins/s
2022-04-19 13:46:28,485 - INFO - epoch: 0, batch_id: 200, click_auc:0.503356, purchase_auc:0.494599, loss:1.2436225, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05960 sec, avg_samples: 2000.00000, ips: 33556.41049 ins/s
2022-04-19 13:46:33,544 - INFO - epoch: 0, batch_id: 300, click_auc:0.502539, purchase_auc:0.494436, loss:1.1692388, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04909 sec, avg_samples: 2000.00000, ips: 40742.78802 ins/s
2022-04-19 13:46:39,242 - INFO - epoch: 0, batch_id: 400, click_auc:0.502448, purchase_auc:0.489412, loss:1.0336576, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05550 sec, avg_samples: 2000.00000, ips: 36033.14483 ins/s
2022-04-19 13:46:45,067 - INFO - epoch: 0, batch_id: 500, click_auc:0.502701, purchase_auc:0.508529, loss:0.81489563, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05676 sec, avg_samples: 2000.00000, ips: 35236.32819 ins/s
