2021-12-20 18:41:12,287 - INFO - **************common.configs**********
2021-12-20 18:41:12,287 - INFO - use_gpu: True, use_xpu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: data/whole_data/test, start_epoch: 0, end_epoch: 1, print_interval: 50, model_load_path: output_model_all_autodeepfm
2021-12-20 18:41:12,287 - INFO - **************common.configs**********
W1220 18:41:12.289043 17996 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 18:41:12.294060 17996 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 18:41:17,189 - INFO - read data
2021-12-20 18:41:17,189 - INFO - reader path:criteo_reader
2021-12-20 18:41:19,038 - INFO - load model epoch 0
2021-12-20 18:41:19,038 - INFO - start load model from output_model_all_autodeepfm/0
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 18:41:20,256 - INFO - epoch: 0, batch_id: 0, auc: 0.806219, avg_reader_cost: 0.00321 sec, avg_batch_cost: 0.00542 sec, avg_samples: 2000.00000, ips: 82126.63 ins/s
2021-12-20 18:41:22,962 - INFO - epoch: 0, batch_id: 50, auc: 0.806710, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05405 sec, avg_samples: 2000.00000, ips: 36952.41 ins/s
2021-12-20 18:41:25,648 - INFO - epoch: 0, batch_id: 100, auc: 0.807034, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05365 sec, avg_samples: 2000.00000, ips: 37228.21 ins/s
2021-12-20 18:41:28,289 - INFO - epoch: 0, batch_id: 150, auc: 0.806353, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05273 sec, avg_samples: 2000.00000, ips: 37873.23 ins/s
2021-12-20 18:41:30,971 - INFO - epoch: 0, batch_id: 200, auc: 0.806020, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05356 sec, avg_samples: 2000.00000, ips: 37288.74 ins/s
2021-12-20 18:41:33,634 - INFO - epoch: 0, batch_id: 250, auc: 0.805755, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05318 sec, avg_samples: 2000.00000, ips: 37555.90 ins/s
2021-12-20 18:41:36,294 - INFO - epoch: 0, batch_id: 300, auc: 0.805464, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05313 sec, avg_samples: 2000.00000, ips: 37592.04 ins/s
2021-12-20 18:41:38,983 - INFO - epoch: 0, batch_id: 350, auc: 0.805020, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05368 sec, avg_samples: 2000.00000, ips: 37204.23 ins/s
2021-12-20 18:41:41,664 - INFO - epoch: 0, batch_id: 400, auc: 0.804770, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05355 sec, avg_samples: 2000.00000, ips: 37294.44 ins/s
2021-12-20 18:41:44,354 - INFO - epoch: 0, batch_id: 450, auc: 0.804749, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05371 sec, avg_samples: 2000.00000, ips: 37181.73 ins/s
2021-12-20 18:41:47,040 - INFO - epoch: 0, batch_id: 500, auc: 0.804453, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05364 sec, avg_samples: 2000.00000, ips: 37229.77 ins/s
