2021-12-20 16:34:03,274 - INFO - **************common.configs**********
2021-12-20 16:34:03,274 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 16:34:03,274 - INFO - **************common.configs**********
W1220 16:34:03.276041  5239 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 16:34:03.281190  5239 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 16:34:09,232 - INFO - read data
2021-12-20 16:34:09,232 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/fluid/dygraph/varbase_patch_methods.py:392: UserWarning: [93m
Warning:
tensor.grad will return the tensor value of the gradient. This is an incompatible upgrade for tensor.grad API.  It's return type changes from numpy.ndarray in version 2.0 to paddle.Tensor in version 2.1.0.  If you want to get the numpy value of the gradient, you can use :code:`x.grad.numpy()` [0m
  warnings.warn(warning_msg)
2021-12-20 16:34:22,364 - INFO - epoch: 0, batch_id: 0, lr: 0.001, auc:0.506115, loss:0.77235156, avg_reader_cost: 0.00317 sec, avg_batch_cost: 0.00938 sec, avg_samples: 40.00000, ips: 4266.28259 ins/s
2021-12-20 16:34:30,587 - INFO - epoch: 0, batch_id: 50, lr: 0.001, auc:0.660838, loss:0.6809165, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.16412 sec, avg_samples: 2000.00000, ips: 12186.11728 ins/s
2021-12-20 16:34:38,823 - INFO - epoch: 0, batch_id: 100, lr: 0.001, auc:0.678789, loss:0.703926, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.16434 sec, avg_samples: 2000.00000, ips: 12169.79210 ins/s
2021-12-20 16:34:46,983 - INFO - epoch: 0, batch_id: 150, lr: 0.001, auc:0.684607, loss:0.69850767, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.16280 sec, avg_samples: 2000.00000, ips: 12284.90094 ins/s
2021-12-20 16:34:55,150 - INFO - epoch: 0, batch_id: 200, lr: 0.001, auc:0.687786, loss:0.6823824, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.16299 sec, avg_samples: 2000.00000, ips: 12270.72249 ins/s
2021-12-20 16:35:03,313 - INFO - epoch: 0, batch_id: 250, lr: 0.001, auc:0.690826, loss:0.67322123, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.16288 sec, avg_samples: 2000.00000, ips: 12278.91576 ins/s
2021-12-20 16:35:11,453 - INFO - epoch: 0, batch_id: 300, lr: 0.001, auc:0.694209, loss:0.64942724, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.16245 sec, avg_samples: 2000.00000, ips: 12311.10761 ins/s
2021-12-20 16:35:19,737 - INFO - epoch: 0, batch_id: 350, lr: 0.001, auc:0.696741, loss:0.6617276, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.16532 sec, avg_samples: 2000.00000, ips: 12097.78187 ins/s
2021-12-20 16:35:27,956 - INFO - epoch: 0, batch_id: 400, lr: 0.001, auc:0.699760, loss:0.6259246, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.16400 sec, avg_samples: 2000.00000, ips: 12194.81908 ins/s
2021-12-20 16:35:36,133 - INFO - epoch: 0, batch_id: 450, lr: 0.001, auc:0.702853, loss:0.6119399, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.16317 sec, avg_samples: 2000.00000, ips: 12256.95245 ins/s
2021-12-20 16:35:44,353 - INFO - epoch: 0, batch_id: 500, lr: 0.001, auc:0.705886, loss:0.6363024, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.16403 sec, avg_samples: 2000.00000, ips: 12193.03058 ins/s
