2021-12-20 17:38:28,908 - INFO - **************common.configs**********
2021-12-20 17:38:28,908 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 17:38:28,908 - INFO - **************common.configs**********
W1220 17:38:28.909716 11696 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 17:38:28.914793 11696 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 17:38:35,125 - INFO - read data
2021-12-20 17:38:35,125 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 17:38:47,825 - INFO - epoch: 0, batch_id: 0, lr: 0.001, auc:0.505387, loss:0.7726101, avg_reader_cost: 0.00243 sec, avg_batch_cost: 0.00504 sec, avg_samples: 40.00000, ips: 7942.40376 ins/s
2021-12-20 17:38:55,254 - INFO - epoch: 0, batch_id: 50, lr: 0.001, auc:0.674768, loss:0.6304742, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14726 sec, avg_samples: 2000.00000, ips: 13581.29016 ins/s
2021-12-20 17:39:02,673 - INFO - epoch: 0, batch_id: 100, lr: 0.001, auc:0.703396, loss:0.60810715, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14695 sec, avg_samples: 2000.00000, ips: 13610.36278 ins/s
2021-12-20 17:39:10,058 - INFO - epoch: 0, batch_id: 150, lr: 0.001, auc:0.715423, loss:0.59757614, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14649 sec, avg_samples: 2000.00000, ips: 13652.35518 ins/s
2021-12-20 17:39:17,462 - INFO - epoch: 0, batch_id: 200, lr: 0.001, auc:0.722090, loss:0.59269035, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14666 sec, avg_samples: 2000.00000, ips: 13636.60275 ins/s
2021-12-20 17:39:24,901 - INFO - epoch: 0, batch_id: 250, lr: 0.001, auc:0.727452, loss:0.5870041, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14736 sec, avg_samples: 2000.00000, ips: 13572.64414 ins/s
2021-12-20 17:39:32,291 - INFO - epoch: 0, batch_id: 300, lr: 0.001, auc:0.731904, loss:0.59226537, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14652 sec, avg_samples: 2000.00000, ips: 13650.26380 ins/s
2021-12-20 17:39:39,842 - INFO - epoch: 0, batch_id: 350, lr: 0.001, auc:0.734856, loss:0.5943543, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14979 sec, avg_samples: 2000.00000, ips: 13351.95553 ins/s
2021-12-20 17:39:47,248 - INFO - epoch: 0, batch_id: 400, lr: 0.001, auc:0.737395, loss:0.5980339, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14694 sec, avg_samples: 2000.00000, ips: 13610.88483 ins/s
2021-12-20 17:39:54,677 - INFO - epoch: 0, batch_id: 450, lr: 0.001, auc:0.739899, loss:0.58579564, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14735 sec, avg_samples: 2000.00000, ips: 13573.53096 ins/s
2021-12-20 17:40:02,041 - INFO - epoch: 0, batch_id: 500, lr: 0.001, auc:0.742051, loss:0.5993587, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14606 sec, avg_samples: 2000.00000, ips: 13693.21750 ins/s
2021-12-20 17:40:09,414 - INFO - epoch: 0, batch_id: 550, lr: 0.001, auc:0.743912, loss:0.5801661, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.14601 sec, avg_samples: 2000.00000, ips: 13697.39060 ins/s
