3737 19450;288 196;18486;674;1
3647 4342 6855 3805;281 463 558 674;4206;463;1
1805 4309;87 87;21354;556;1
18209 20753;649 241;51924;610;0
13150;351;41455;792;1
35120 40418;157 714;52035;724;0
13515 20363 25356 26891 24200 11694 33378 34483 35370 27311 40689 33319 28819;558 123 61 110 738 692 110 629 714 463 281 142 382;45554;558;1
19254 9021 28156 19193 24602 31171;189 462 140 474 157 614;48895;350;1
4716;194;32497;484;1
43799 47108;368 140;3503;25;0
20554 41800 1582 1951;339 776 694 703;4320;234;0
39713 44272 45136 11687;339 339 339 140;885;168;0
14398 33997;756 347;20438;703;1
29341 25727;142 616;4170;512;0
12197 10212;558 694;31559;24;0
11551;351;53485;436;1
4553;196;7331;158;1
15190 19994 33946 30716 31879 45178 51598 46814;249 498 612 142 746 746 558 174;24353;251;0
4931 2200 8338 23530;785 792 277 523;3525;251;0
8881 13274 12683 14696 27693 1395 44373 59704 27762 54268 30326 11811 45371 51598 55859 56039 57678 47250 2073 38932;479 558 190 708 335 684 339 725 446 446 44 575 280 558 262 197 368 111 749 188;12361;616;1
16297 16797 18629 20922 16727 33946 51165 36796;281 436 462 339 611 612 288 64;34724;288;1
22237;188;40786;637;0
5396 39993 42681 49832 11208 34954 36523 45523 51618;351 339 687 281 708 142 629 656 142;38201;571;0
8881 9029 17043 16620 15021 32706;479 110 110 749 598 251;34941;657;0
53255;444;37953;724;1
1010 4172 8613 11562 11709 13118 2027 15446;674 606 708 436 179 179 692 436;36998;703;0
22357 24305 15222 19254 22914;189 504 113 189 714;18201;398;1
1905;694;23877;347;1
8444 17868;765 712;50732;44;0
42301 26186 38086;142 450 744;61547;714;0
18156 35717 32070 45650 47208 20975 36409 44856 48072 15860 47043 53289 53314 33470 47926;157 281 650 142 749 291 707 714 157 205 388 474 708 498 495;48170;746;1
56219;108;1988;389;0
22907;83;752;175;0
22009 32410 42987 48720 683 1289 2731 4736 6306 8442 8946 9928 11536 14947 15793 16694 21736 25156 25797 25874 26573 30318 33946 35420 1492 5236 5555 6625 8867 9638 11443 20225 25965 27273 29001 35302 42336 43347 36907 2012;317 462 291 142 694 10 574 278 708 281 131 142 367 281 258 345 616 708 111 115 339 113 612 24 368 616 39 197 44 214 558 108 616 558 210 210 142 142 262 351;25540;701;0
20434;196;18056;189;0
628 5461;194 234;43677;351;0
16953 15149 45143 23587 5094 25105 51913 54645;484 281 449 792 524 395 388 731;57655;75;1
13584 7509;234 744;33062;749;1
170 208 77 109 738 742 1118 15349 255 12067 21643 55453;330 559 744 115 558 674 111 351 694 694 746 111;9821;694;1
4970 16672;540 746;25685;666;1
17240 60546;708 629;42110;142;1
31503 31226 50628 22444;142 156 142 203;47812;749;0
2443 1763 3403 4225 8951;25 707 351 177 351;7954;351;1
3748;351;9171;657;1
1755 26204 42716 32991;446 188 497 746;23910;395;1
20637 27122;558 44;19669;301;0
406 872 306 218 883 1372 1705 1709 7774 2376 2879 2881 13329 4992 13594 11106 7131 8631 1736 17585 2568 16896 21971 10296 22361 24108 23300 11793 25351 2648 24593 12692 23883 25345 27129 26321 21627 20738 17784 28785 29281 28366 24723 24319 12083 29882 29974 30443 30428 17072 9783 16700 29421 32253 28830 31299 28792 33931 24973 33112 21717 28339 23978 18649 1841 17635 19696 37448 20862 30492 35736 37450 2633 8675 17412 25960 28389 31032 37157 14555 4996 33388 33393 36237 38946 22793 24337 34963 38819 41165 39551 43019 15570 25129 34593 38385 42915 41407 29907 31289 44229 24267 34975 39462 33274 43251 38302 35502 44056 44675 45233 47690 33472 50149 29409 47183 49188 48192 50628 24103 28313 28358 38882 44330 44346 2019 2484 2675 26396 48143 46039 47722 48559 41719 41720 43920 41983 51235 34964 27287 51915 33586 43630 47258 52137 40954 35120 29572 42405 53559 44900 45761;241 558 395 368 498 110 463 611 558 106 10 112 251 241 48 112 601 674 241 347 733 502 194 119 179 179 578 692 281 115 523 113 281 35 765 196 339 115 90 164 790 708 142 115 342 351 391 281 48 119 74 505 606 68 239 687 687 281 110 281 449 351 38 351 164 176 449 115 70 25 687 115 39 756 35 175 704 119 38 53 115 38 38 142 262 188 614 277 388 615 49 738 106 733 486 666 571 385 708 119 331 463 578 288 142 106 611 611 39 523 388 142 726 702 498 61 142 714 142 654 277 733 603 498 299 97 726 115 637 703 558 74 629 142 142 347 629 746 277 8 49 389 629 408 733 345 157 704 115 398 611 239;49174;368;0
29206 60955;351 684;61590;76;1
8427 9692 4411 3266 18234 22774;746 281 396 651 446 44;23393;351;0
13051 15844 9347 21973 18365 24220 28429 4799 27488 21623 13870 29346 27208 31075 31635 28390 30777 29334 33438 16469 29423 29237 25527 34808 37656 21324 38263 6699 33167 9295 40828 18894;339 342 657 194 20 466 179 225 436 364 707 115 36 523 351 674 694 391 674 500 342 216 707 345 616 495 436 363 395 189 203 766;56816;396;0
5653 18042 21137 17277 23847 25109 21837 17163 22786 27380 20789 27737 30164 36402 37166 38647 31746 38915 38366 11151 43757 38284 29817 41717 41899 43279 47539 37850 39789 43817 11208 53361 29247 51483 39940 50917 53618 44055 48997;593 251 616 110 110 110 110 105 436 558 311 142 603 738 398 766 1 351 142 584 674 597 142 483 351 157 373 142 629 39 708 251 339 142 262 1 113 142 462;13418;558;0
8719 11172;311 217;11707;179;1
14968 8297 22914 5998 20253 41425 42664 46745 51179 33481 46814 55135 53124 61559;463 766 714 486 628 444 281 714 142 242 174 118 714 714;61908;714;1
61119;714;22907;83;0
26172;157;54529;44;0
13830 10377 8193 16072 13543 18741 24205 18281 37272 27784 16658 27884;384 739 558 739 135 347 558 687 498 142 197 746;34463;177;1
20842 11756 22110 30562 30697;189 68 483 776 225;49113;483;0
13646 46782 54138;142 798 142;43698;347;0
36434;241;51537;629;0
44121 35325;397 653;43399;397;1
6438 11107 20073 25026 24434 35533 6318 25028 28352 32359 25734 26280 41466 25192 1909 11753 17770 24301 1728 9693 36444 40256 17961 36780 41093 8788 439 46397 46269 50462 40395 437 2582 4455 12361 14325 22294 26153 26607 29205 29878 33491 38795 41585 45480 51567 54245 19796 52446;356 194 389 89 474 330 347 384 330 90 19 385 177 68 624 68 674 463 624 194 177 389 197 642 239 111 115 113 48 251 554 115 36 163 616 524 84 190 465 398 89 166 113 330 616 449 90 140 330;15142;764;0
1573;540;18294;463;1
9837 13438 13690;351 629 24;26044;351;0
1708 2675 4935 7401 14413 22177 30319 32217 34342 40235 42963 43949 54816;463 115 474 616 474 44 113 279 164 142 616 649 36;31992;115;0
8025 11769 36188 42006;142 262 714 142;8209;142;0
30266;176;44167;692;0
13000 14769 2940 27638 23158;765 27 736 554 112;55050;725;0
32557 18668 43441;765 707 396;44217;681;1
5665 5964 18874;542 746 196;16747;179;0
7014 29912 42468;194 612 558;20800;355;0
8320 9743 1735 442 5216 11568;234 251 241 603 476 649;32738;153;0
533 1447;744 744;17843;744;1
48390 48191;714 714;48864;708;1
9312 16166 12754 21433 28142 7486;215 674 241 115 558 241;38629;48;1
10401 11665 10739;142 364 766;5989;463;0
10408 14363 8807 14947 24701 44676 40914 12241 14906 29247 32347 5834 18291 18313 23375 24075 7020 14307 15891;140 140 749 281 444 388 504 385 196 339 746 351 463 746 197 90 746 576 476;37949;330;1
50194;444;15572;216;0
24021;281;25850;140;1
22185 28726 55777;142 766 351;17;541;1
31776 34767 28854 34769 38022 38667 32917 9094 40879 41634 42252 19865 47983 38818 40131 40690 18915 48539 49619 18554 24836;70 239 113 48 486 541 352 197 347 385 34 476 704 388 385 281 225 474 157 706 53;25602;707;1
10544 15159 23606 33556 46886 55061 2079 27022 40345 43556 3807 28732;642 87 641 113 558 157 564 44 194 26 54 113;51293;272;0
19005 41469 42368 5739 30169 32266 54743 56959 26271;145 482 707 790 101 347 197 368 674;5602;158;0
7166 16886 21083 7328 25545;560 213 87 744 87;32494;321;1
2306;260;30286;179;0
57709 55115;351 483;25035;142;0
16641 35845;153 311;36985;68;1
31144 4107;189 168;50619;142;0
36331 9873 10659 14382 21430 28164;680 197 185 11 115 476;37887;484;1
19519 3748 33772 22436 38789 46337;649 351 210 115 113 115;23980;649;1
30789 37586 42354 26171 15017 28654 44960;142 714 142 483 484 474 157;41552;746;1
52662;576;53627;776;0
12258 15133 15681 5066 6420 13421 6577 29202 38939;216 558 111 570 447 5 111 281 347;7818;558;0
610 1258 2332 7508 10814 10797 11710;543 611 611 653 110 201 179;11495;558;1
12584 2707 1664 25878 25949;790 694 694 142 611;25286;792;1
32423 24223;135 90;2323;399;0
11959;197;15349;351;1
44448 58138 41930 57603 59009 61316 61559 599;339 629 115 388 1 142 714 297;54434;142;0
43441 12617 47970 52144;396 196 142 629;29211;351;1
25327 40258;656 398;40261;142;1
4637;474;59864;687;0
