1	3	7	9 2	93 54 53 93 70 92 100 17 16 63 51 30 13 58 2 3 4 99 7 7 17 43 12 2 67 19 56 9
2	3	8	17 9 11 97 4 27 92	55 1 93 55 14 93 8 35 2 97 68 1 55 57 16 37 11 93 65 97 66 91 95 38
3	2	4	80 93 25 65 68 1 27 61	41 100 91 86 55 2 89 45 92 8 95 82 29 94 68 27 98 62 97 3
4	3	7	10 92 2 4	9 40 66 61 59 56 47 100 65 55 33 63 13
5	1	1	11 21 27 35 60 53 31 60 36	53 19 53 32 50 20 58 89 76 12 15 30 17 71 19 39 52 59 31 78 56 54 56 18 28 20
6	2	5	84 99 9 96 96 30 99 63	44 84 22 91 92 22 22 24 23 95 81 92 93
7	1	2	54 40 16 86 12	76 36 71 15 72 55 52 81 36 12 13 60 58 29 31 90 34 17 71 32
8	3	8	15 99 70 3 2 65 6 4	17 33 3 33 57 51 69 5 11 60 2 17 6 52 92 91
9	2	5	98 29 84 23 88 2 98 4 82	94 8 49 89 85 53 83 10 10 70 4 30
10	1	1	57 29 30 55	59 36 20 11 20 92 13 77 80 54 13 38 71 58 57 23
11	1	2	89 12 80 17 71 55	19 35 80 37 11 40 20 11 52 73 36 36 65 65 14 74 13 51
12	1	2	51 40 88 21 40 15 41 60 12 52	53 22 65 52 36 63 34 75 74 82
13	3	8	63 68 48 9	3 62 93 99 1 16 10 94 96 62 2 52 46 63 96 70 11 57 15
14	1	1	18 31 36	36 75 56 34 56 71 26 40 87 58 38 18 81 33 64 23 32 84 36 56 82 19 77
15	3	7	18 95 97 56 95 1	91 17 91 36 98 66 5 2 100 98 15 21 65 32 6 12 33 67 94 97 3 11 55 40 19 63 10 63
16	2	5	4 27 53 91 95 24 30	1 87 44 2 23 96 25 60 2 21 23 27 95 90 99 92 49 96 95 52 93 67
17	1	3	55 87 91 56 37 60 12 55	14 28 11 18 53 53 34 38 57 73 54 11 35 33 20 56 39 71 59 15 23 19 11 81 35 37 35
18	1	2	78 55 14 73 56 33 40 72	60 52 56 20 52 97 15 59 79 20 14 15 18 56 78 39 38 36 55 16 52 89 80 36 18 48 90 73 11 3
19	3	7	70 67 68	14 19 53 57 12 14 18 94 100 95 92 63 4
20	3	8	6 4 10 8 14 20	84 85 16 4 6 54 3 18 55 7 24 78 59 72 56 19
