0	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1	-1.81603598 -1.43418462 -2.77875346 2.97872958 2.70467711 2.22676525 2.93413830 -0.40179584 1.28783125 -0.75759002 2.49997971 0.51128654 -2.98739738 1.17825517 -2.70677054 -0.91775938 0.55953973 -1.29839326 1.68478248 -3.14247548 2.10445784 -0.71320745 0.17937071 2.51055753 -2.41920249 -2.01287195 1.36800448 -2.12838995 1.63751275 1.45370536
2	-1.65859566 -1.74610537 -2.58396032 3.32215926 2.60841738 2.27675453 3.24006653 -0.83873090 1.46428318 -1.15102163 2.66778598 0.49563643 -3.28339922 1.53072580 -3.09869374 -0.78562361 0.75157537 -1.41953063 1.64513384 -2.68997884 2.00257241 -0.77966588 0.35413715 2.53912871 -2.57934340 -1.66924937 1.70183981 -1.72251162 1.70467004 1.31425524
3	-1.71953275 -1.71824254 -2.52364620 3.15778723 2.15709078 2.43802121 2.65032072 -0.41355002 1.40467741 -0.76047402 2.53344294 0.46994292 -3.12754953 1.16498309 -2.82688649 -1.27630159 0.47389261 -1.07647410 1.56482148 -2.84541111 2.13875274 -0.52321465 0.25600535 2.38619464 -2.15635081 -1.67002413 1.72599012 -1.77108420 2.01815928 1.41557462
4	-1.98124285 -2.00043471 -2.73323880 2.81192576 2.67366149 2.52301374 2.67516990 -0.55244674 1.56432816 -1.21309398 2.78325655 0.75465859 -2.94562369 1.31851483 -2.75505852 -0.98388261 0.59341089 -1.13732265 1.42445746 -2.74245368 1.76108192 -0.60605684 0.28022523 2.25556095 -2.49167557 -2.15871303 1.75969684 -2.21702227 1.96677227 1.27141271
5	-2.06505269 -1.45501455 -2.46648171 3.26705657 2.19221420 2.52461702 3.05580061 -0.54945523 0.99354021 -1.04792190 2.48500633 0.23665537 -2.92161568 1.52264302 -2.72428639 -0.93665716 0.71591436 -1.14138934 1.53027043 -2.99991684 2.36662330 -0.30789200 0.42541805 2.42825293 -2.08439002 -1.83848499 1.72537664 -2.16209983 1.77803489 1.22480073
6	-1.69383924 -1.77007227 -2.47981387 3.16080088 2.38236512 2.49484734 2.93205752 -0.36637200 1.11501594 -0.75608161 2.44197089 0.28786214 -3.29171917 1.12227337 -2.68683870 -1.14868471 0.65919891 -1.27565332 1.59879383 -2.89984972 2.16017717 -0.54425328 0.16839129 2.19600577 -2.00379938 -1.94146456 1.38710780 -2.05891155 1.72511417 1.38689592
7	-1.90439001 -1.51369377 -2.88096776 2.83329643 2.30814330 2.41142013 2.99687473 -0.82402631 1.28143080 -0.83963532 2.59270086 0.69336732 -3.00857199 1.30827538 -2.75954263 -0.78337523 0.78966817 -1.35164918 1.91474647 -3.08892547 1.99041345 -0.71311259 -0.04099577 2.54688894 -2.51073146 -2.06143821 1.62210614 -1.82455515 1.96185809 1.55884477
8	-1.66505303 -1.63700363 -3.00747152 2.88625193 2.23480376 2.38824380 2.92820587 -0.44404387 1.50535485 -0.86767207 2.56070809 0.62084365 -2.98913031 1.03629736 -2.85493906 -1.33863641 0.39989215 -1.39922881 1.71463122 -2.91639792 2.23122090 -0.63371412 -0.04756066 2.51891543 -2.39740175 -1.75099425 1.83013657 -1.88340830 1.72346030 1.56084966
9	-1.69106909 -1.48064797 -3.02261567 3.15736981 2.36785975 2.48696378 3.03368048 -0.32782384 1.16435696 -0.89718561 2.93989681 0.69806331 -3.46919252 1.45446747 -2.91199603 -1.36127831 0.45025142 -1.38231378 1.77439510 -2.83214852 1.88386683 -0.29504051 0.51261153 2.26897217 -2.17010672 -2.18692371 1.68005488 -2.15454831 2.02955296 1.53391021
10	-1.87010776 -1.76947460 -3.03555255 2.90348318 2.70249198 2.19684378 2.61341061 -0.73049879 1.11978782 -1.04882631 2.76794164 0.56606351 -3.42312446 1.32416582 -3.02978455 -0.92510852 0.53889955 -1.34920158 1.56878697 -2.99769692 1.82936182 -0.22823739 0.40396200 2.23991400 -2.08418131 -1.66506884 1.86516196 -2.08001027 2.14985549 1.37947722
11	2.11069385 1.49979556 -1.02716154 1.74012550 -0.39356759 1.34876202 0.85452332 2.24560610 2.87180032 2.95453183 2.31405360 2.30210651 0.57722635 0.52121293 3.28827545 0.44016375 -2.89999835 3.17846220 1.72493708 2.44061428 -2.07162074 2.02779158 -3.31757395 2.47249003 -2.20735203 -0.43465506 2.49056878 -1.17678155 -1.55205536 0.69336100
12	2.01017136 1.55792771 -0.64420023 1.83703034 -0.62470795 1.60154185 0.99384062 1.93341656 2.69067138 3.00100466 2.01370679 2.02371540 0.68637869 0.39817187 2.95869022 0.82144906 -2.71394891 3.00069792 1.69729878 2.35842352 -2.12610679 1.79127851 -3.01772679 2.75476126 -2.03543164 -0.02589273 2.67776929 -1.52978660 -1.54468726 0.47697899
13	1.70000252 1.28831508 -0.99072262 1.92162127 -0.77258238 1.62912323 1.14355550 2.02233981 3.05207228 2.96081211 2.03067557 2.14878348 0.79969891 0.77089372 3.30692340 0.24362503 -2.96536895 2.94535806 1.57516529 2.55543341 -2.26924412 1.82308469 -2.93093175 2.45543587 -2.17896110 -0.35541471 2.92844936 -1.45182065 -1.47463332 0.53965849
14	1.72527545 1.56096666 -0.74248382 1.59077429 -0.73947649 1.19777591 1.13653524 1.96273088 2.80361213 3.25153927 2.38496451 2.11977591 0.31462449 0.60524413 2.93687367 0.52270869 -2.74297545 2.96391114 1.77823727 2.77975591 -1.90902591 2.25704722 -3.19572191 2.88565110 -1.61852328 0.00903779 2.68659204 -1.43514596 -1.86148739 0.64456073
15	2.16155276 1.22103130 -0.74449819 1.93659781 -0.58679224 1.76338089 0.73793330 2.48138552 3.16022218 2.65384350 2.25782830 2.21620008 0.57346957 0.39195167 3.20746028 0.79407954 -3.13030387 2.99602091 1.20940044 2.73738138 -1.73101814 1.84104011 -3.07302237 2.72241749 -1.93664208 -0.20505473 2.61744252 -1.51902221 -1.88645990 0.42570582
16	1.97072828 1.57155713 -0.99685744 2.14157665 -0.45179777 1.74822093 0.77617156 1.95611539 2.89351252 2.95911081 2.36476388 2.28290516 0.33467333 0.86682458 2.82747151 0.70831225 -3.07950188 3.18667463 1.64387526 2.42284544 -2.01382063 2.22797008 -3.11172549 2.56292485 -1.90712222 -0.21410517 2.41207156 -1.40835198 -1.78579195 0.62030922
17	1.66918929 1.41207082 -0.95351526 1.96289848 -0.54411731 1.22470587 1.29213827 2.38009461 3.06860151 3.16106651 2.32975431 2.45609679 0.33053075 0.34973842 2.90442870 0.59736374 -2.99336776 3.32160586 1.66570446 2.35631744 -2.13489792 2.38914821 -2.91623665 2.59509470 -2.06772166 0.13156024 2.91741618 -1.23457533 -1.89475139 0.64996823
18	1.75447276 1.28554176 -0.96185102 2.01378901 -0.31223381 1.37371239 0.78434605 2.30322596 2.99355434 3.19022587 2.28774661 2.55100306 0.29249171 0.57495900 3.28973010 0.54891448 -3.06203346 2.84848485 1.53889713 2.85674155 -1.97939924 1.78211739 -3.06289360 2.69971866 -2.09904718 -0.22897104 2.45282383 -1.71192431 -1.90496871 0.54605578
19	2.05093312 1.25629386 -1.00593001 1.76824447 -0.39549658 1.72685975 1.20384748 2.30487667 2.86767987 3.14957163 2.17868598 2.61395136 0.47361433 0.63203811 2.81673242 0.70695247 -3.01652512 3.13505677 1.56949216 2.61238287 -1.90138901 2.33276796 -3.10838612 2.68451126 -1.98744091 -0.23832822 2.83749277 -1.27965044 -1.68110159 0.30354071
20	1.77716526 1.55143556 -0.72104990 1.77521097 -0.54751359 1.78214585 1.08591350 2.24485348 2.59837082 2.93118790 2.36833726 2.33038044 0.34178846 0.56292970 3.33542501 0.46847246 -3.07043247 3.21584032 1.55252338 2.59352937 -1.80716895 2.38969212 -3.04359738 2.41116082 -2.01541758 0.01474254 2.79861573 -1.57431147 -1.68801117 0.32466156
21	3.12172461 -3.07812313 2.87464953 0.60655332 3.13238465 -1.08730806 0.12233904 -1.32845703 -0.71242637 1.22541738 -0.70845139 0.83479703 -3.11155473 0.68972438 -2.04693917 1.31334767 1.83199599 -2.40090239 -0.37442316 -0.97516421 1.94536681 -2.42935973 -0.69546391 -1.79117415 1.22649572 -0.85195871 -1.14747356 -0.28463977 1.92015713 -1.35887814
22	3.04406856 -3.16754285 2.87620854 0.48058082 3.07706060 -0.89096857 0.54259941 -1.35586449 -0.72378844 1.56018874 -0.81612062 0.67219271 -3.38541113 0.37813251 -1.77572642 1.30814256 1.89611750 -2.06119155 -0.50698584 -0.75456372 1.94005734 -2.78702282 -0.57943362 -2.10319292 1.09362629 -0.67140531 -1.47877590 -0.28040865 1.58839310 -1.38783512
23	2.87458945 -3.13755181 3.23608838 1.10835618 3.11309792 -0.95146294 0.52767979 -1.45831280 -0.99596567 1.17730016 -0.32442123 0.71822599 -3.44600037 0.53412451 -2.18420099 1.30607759 1.41245978 -2.20524911 -0.56107660 -0.68380776 1.43399805 -2.58039327 -0.83271309 -1.57039657 1.51280201 -0.26894223 -1.04911407 0.04293741 1.65538278 -1.12259908
24	3.21710523 -2.66943036 2.74890156 0.68802940 2.78762681 -0.74590224 0.48207026 -1.54744476 -0.95592491 1.56204816 -0.34560849 0.62206429 -3.25089417 0.25116074 -1.94189779 1.11604684 1.69076235 -2.02489493 -0.17398535 -0.58888567 1.59889502 -2.78657694 -0.57129392 -1.77436664 1.54711272 -0.30205128 -1.47967083 -0.14110399 1.52148562 -1.62710254
25	3.00235812 -2.65674330 2.73690072 0.93625238 2.86693674 -1.17500119 0.30410676 -1.33912972 -1.13325280 1.40081311 -0.73852781 0.57116427 -2.86407488 0.33956221 -1.99125778 1.47279920 1.93521274 -2.15196473 -0.56878940 -0.71921262 1.80147685 -2.48855124 -0.83460413 -1.80686853 1.29722638 -0.70763236 -0.92845105 -0.36267214 1.62280184 -1.04319113
26	3.37410283 -3.23112361 3.06808606 0.99016606 3.15028314 -0.97854469 0.58128672 -1.51794071 -0.71968696 1.37615367 -0.81792312 0.97520216 -3.40398003 0.27871683 -2.01488632 1.43577525 1.78205098 -2.18044737 -0.54569844 -0.79730507 1.68309699 -2.90028928 -0.90554983 -1.60181380 1.43781492 -0.71581950 -1.47724220 -0.25728291 1.77643477 -1.33328267
27	3.18233915 -2.99168859 3.31260918 0.51850918 2.70184371 -0.97151494 0.22389242 -1.11317233 -0.70217427 1.51377915 -0.88911864 0.44687094 -3.32713984 0.70417599 -2.09038254 1.23351281 1.71396714 -2.17573874 -0.25356723 -0.60963337 1.93027958 -2.66569255 -0.71181289 -1.55472749 1.43913675 -0.88041289 -1.03192077 -0.17035506 2.00729369 -1.37282695
28	2.85613124 -2.63119843 3.06188799 1.09155817 2.75620959 -0.84262683 0.65220079 -1.45230764 -0.78375787 1.41306693 -0.40083767 0.62446129 -2.86907128 0.65995470 -1.85687363 1.10855857 1.46145295 -2.20844301 -0.30306004 -1.09720283 1.61796988 -2.48886747 -0.63526363 -1.80402248 1.07483920 -0.73542562 -0.98180816 -0.40333903 1.79981982 -1.38847390
29	3.03589091 -2.71927102 2.72029244 0.63687956 3.01582626 -1.33690348 0.27311960 -0.98478386 -1.23149844 1.14148104 -0.43701729 0.65538521 -3.33602901 0.19610865 -2.03673133 1.45311086 1.69654615 -1.98554038 -0.26431898 -0.91942907 1.50642686 -2.68145967 -0.83650782 -1.77602052 1.22563874 -0.69816450 -1.29663503 -0.48386327 1.67634552 -1.42121929
30	3.31782694 -3.10319366 3.22611456 0.92436222 3.22348987 -0.88024212 0.50817170 -1.47728014 -0.99554825 1.16029343 -0.43400680 0.93538276 -2.98118983 0.59847053 -1.92186476 1.37717192 1.92961550 -2.13948006 -0.36004429 -0.99140567 1.96253481 -2.93083688 -0.48394549 -1.95781986 1.55585326 -0.64186015 -1.03019733 -0.10856415 1.96576982 -1.38098563
31	-3.19993090 2.86974800 1.00317567 -1.71160176 -1.46744230 0.99671830 2.56561595 -2.19966453 0.68148981 1.15515473 0.51228266 -0.63113370 -0.48609900 -0.57820666 3.16855478 0.01202930 0.60936458 -1.61347944 2.41876926 1.44284927 -1.79159790 1.40781755 1.18960142 -0.71300507 -0.60057661 0.72704242 1.39482059 -0.20989302 -0.80969487 -2.90658538
32	-3.17497104 2.79901418 0.39719156 -1.52230465 -0.86591384 0.57024088 2.64002750 -1.64281273 0.62337663 1.47310910 0.62666856 -0.49394777 -0.32796930 -0.68454457 2.83547840 -0.00745033 0.31637639 -1.54105064 2.52616654 1.47732442 -1.54990818 1.35325245 1.26961021 -1.02035632 -0.62325963 0.91164354 1.39414703 -0.25390560 -0.93388384 -3.02034831
33	-2.85179891 2.63466112 0.87550503 -1.68005804 -0.90080325 0.79251738 3.04259178 -2.07627245 0.42066831 1.54609131 0.96231904 -0.58624517 -0.14104391 -0.62484709 2.92307665 -0.19532124 0.58444583 -1.54650873 2.43242714 0.94743104 -1.63351247 1.36408325 1.02138406 -0.91329425 -0.37738938 0.52960561 1.11962338 -0.72253301 -0.92888428 -2.92643183
34	-2.80904176 2.76015611 0.79054728 -1.83667300 -1.17104518 0.71978183 2.67125816 -2.05403216 0.96788781 1.38180150 0.52803080 -0.21400714 -0.40253581 -0.37969468 2.68869180 -0.07296323 0.42896296 -1.38770231 2.11575349 1.27070119 -1.84182119 1.50845072 0.79109435 -0.83940447 -0.24876690 0.70894787 1.04925005 -0.17816905 -0.94806982 -2.56054366
35	-2.81223882 2.97605745 0.97360521 -1.92500490 -1.44852872 0.57626818 2.56554005 -1.98996757 0.92710392 1.74576068 0.78760320 -0.77255076 -0.49748003 -0.77987143 3.13940174 -0.15903727 0.42814393 -1.23540701 2.25601948 0.94064163 -2.08891524 1.25721092 0.81932084 -0.95649729 -0.43279565 0.65346887 1.40420939 -0.43340596 -1.20915062 -2.60720306
36	-3.29958376 2.51701490 0.68227089 -1.73286175 -1.32889975 0.85833703 3.00760117 -1.65604370 0.89595232 1.18590472 0.86436433 -0.25476258 -0.23430896 -0.48872053 3.12886187 -0.32696370 0.54030676 -1.40139813 2.35331011 1.44928450 -1.54720127 1.53367304 1.11033261 -0.89295132 -0.32316897 0.80937232 1.15346924 -0.48066937 -0.78818506 -2.59512632
37	-2.72672451 3.00568167 0.88968152 -1.64292025 -0.87174508 0.93264739 2.52222634 -1.96015046 0.88440052 1.60734463 0.75390913 -0.25676430 -0.19473938 -0.66113739 2.96394277 0.20623426 0.59147241 -1.18215110 2.24717775 0.91021735 -1.66197297 1.56096982 1.17646216 -0.92611096 -0.58612816 0.41221554 1.43665753 -0.61193867 -1.10922897 -2.64927084
38	-3.16733414 2.58025729 0.54299153 -1.81529284 -1.23443303 0.73620354 2.74556220 -1.98934144 0.65566981 1.59963815 0.82798548 -0.29995152 -0.41663641 -0.30995697 2.66522137 -0.35880783 0.43444952 -1.34697849 2.24118207 0.89356164 -1.80616967 1.28284750 0.77578893 -0.92053586 -0.62067289 0.50050001 1.04372555 -0.22628626 -1.08454107 -2.94656289
