187-958-967-972-973-977-993-1071,72-4083
195-957-970-972-973-980-1023-1129,49-4082
223-959-966-972-973-977-1001-1146,1285-4082
468-962-966-972-973-981-1033-1204,16-4082
12-961-967-972-973-978-990-1065,24-4082
340-963-968-972-973-978-993-1172,65-4082
130-957-968-972-973-976-994-1081,784-4082
37-958-965-971-973-980-989-1077,9-4082
377-958-968-972-973-977-993-1071,957-4082
76-961-968-972-973-976-985-1096,5-4082
378-959-965-971-975-977-985-1065,21-4082
15-963-968-972-973-979-993-1071,1288-4082
199-958-969-972-973-978-991-1075,1224-4083
242-960-967-972-973-976-1003-1153,33-4082
208-959-966-972-973-978-991-1115,180-4082
159-958-964-971-973-977-993-1071,135-4082
38-958-966-972-973-977-1001-1065,33-4082
264-960-968-972-973-977-986-1065,403-4082
7-957-967-972-973-979-988-1069,552-4082
52-958-969-972-973-976-991-1083,148-4082
78-959-968-972-973-981-1009-1093,59-4082
12-957-964-971-974-976-985-1065,58-4082
151-958-965-971-973-979-1003-1116,165-4083
243-958-969-972-973-977-991-1154,21-4082
87-959-968-972-973-976-985-1078,385-4082
150-963-967-972-974-980-989-1065,26-4082
155-958-970-972-973-977-986-1066,123-4083
49-958-969-972-973-976-1003-1065,16-4082
265-957-966-972-973-976-995-1065,16-4082
39-962-968-972-975-981-985-1079,26-4082
275-959-969-972-973-981-985-1065,103-4082
15-963-968-972-973-977-993-1071,72-4083
473-959-970-971-973-977-993-1071,16-4082
119-961-970-972-974-976-985-1065,15-4083
235-958-966-972-973-978-990-1065,347-4082
344-959-968-972-973-978-990-1065,39-4082
177-961-969-972-973-977-991-1065,16-4082
208-961-968-972-973-976-991-1115,262-4082
147-957-970-972-973-976-986-1066,21-4082
262-958-970-972-973-977-1001-1146,356-4082
45-958-966-972-973-976-986-1082,137-4082
140-958-965-971-973-978-990-1065,44-4082
77-959-966-972-974-978-985-1065,209-4082
420-959-968-972-973-977-986-1065,16-4082
34-963-969-972-973-976-991-1065,29-4082
391-963-969-972-973-976-1004-1184,480-4082
144-958-967-972-973-976-985-1096,170-4083
415-962-969-972-973-977-985-1096,3262-4082
134-958-970-972-975-980-985-1065,99-4082
291-961-968-972-973-977-985-1065,106-4082
85-960-965-971-973-981-991-1075,9-4082
113-959-967-972-974-978-986-1066,377-4082
128-958-967-972-973-979-993-1111,16-4082
201-962-970-972-973-977-986-1066,5-4082
256-959-964-971-973-978-990-1065,1534-4082
49-959-966-972-974-976-1003-1065,39-4082
226-957-966-972-975-977-989-1065,1711-4082
235-963-969-972-973-978-990-1065,20-4082
828-961-967-972-973-976-1003-1281,41-4082
39-958-968-972-974-978-985-1079,26-4082
68-959-969-972-973-976-996-1090,319-4082
265-961-969-972-973-976-995-1065,636-4082
75-960-965-971-974-980-995-1092,301-4082
65-957-970-972-974-980-1008-1065,1340-4082
181-962-968-972-973-976-996-1090,209-4082
230-958-966-972-973-977-1000-1148,350-4082
142-961-966-972-974-976-1018-1065,5-4082
80-958-970-972-973-977-986-1159,2169-4082
326-960-965-971-974-976-1037-1171,3936-4082
25-959-969-972-973-976-995-1065,102-4082
77-958-970-972-975-980-985-1065,55-4082
99-962-969-972-973-977-993-1071,102-4082
272-960-965-971-973-980-985-1065,16-4082
15-959-964-971-973-979-993-1071,655-4083
106-960-965-971-974-980-1015-1104,835-4082
7-957-967-972-973-978-988-1069,290-4082
30-959-969-972-973-980-985-1065,43-4082
464-958-970-972-973-976-989-1073,755-4082
212-957-970-972-973-976-1013-1137,5-4082
338-957-966-972-975-977-986-1066,3305-4082
91-959-970-971-973-978-1011-1065,280-4082
167-962-967-972-973-977-993-1071,95-4083
344-962-967-972-973-978-990-1065,1244-4082
98-958-964-971-973-979-993-1071,0-4082
195-959-970-971-973-981-1023-1129,1261-4082
138-961-970-972-973-977-1001-1085,371-4082
130-960-967-972-973-976-986-1065,262-4082
33-958-969-972-973-977-1000-1076,25-4082
109-960-964-971-973-976-985-1095,16-4082
38-958-964-971-975-977-985-1078,2055-4083
291-959-969-972-973-976-985-1065,269-4082
258-959-965-971-973-977-986-1066,264-4082
265-961-969-972-973-977-995-1065,21-4082
45-958-966-972-973-977-986-1082,98-4082
71-958-966-972-973-976-985-1088,1187-4082
516-957-970-972-973-977-1001-1146,350-4082
42-959-965-971-973-978-986-1065,9-4082
215-959-967-972-973-977-985-1065,1899-4082
188-962-970-972-973-976-985-1065,25-4082
634-958-968-972-973-978-990-1065,384-4082
102-958-964-971-974-981-1014-1102,25-4082
125-959-968-972-974-977-991-1075,93-4082
246-960-964-971-973-978-991-1075,40-4082
272-961-970-972-973-977-985-1065,2547-4082
230-958-966-972-973-976-1000-1148,492-4082
395-963-965-971-973-976-1003-1065,755-4082
36-962-967-972-973-978-990-1065,242-4082
366-957-967-972-973-978-1036-1177,3-4082
6-959-968-972-975-977-986-1066,1282-4082
293-961-966-972-973-977-985-1074,26-4082
206-957-966-972-973-977-1002-1127,110-4082
246-959-964-971-973-977-991-1075,40-4082
5-959-965-971-974-978-986-1066,5-4082
420-959-964-971-973-976-986-1065,2619-4082
135-961-970-972-974-976-986-1066,273-4082
193-959-969-972-973-978-990-1065,1970-4082
690-961-970-972-973-976-985-1096,167-4082
